code,latitude,longitude
 ABE,40.65236111,-75.44041667
 ABI,32.41130556,-99.68188889
 ABQ,35.04019444,-106.6091944
 ACT,31.61219444,-97.23030556
 ACY,39.45758333,-74.57716667
 ADW,38.81080556,-76.86702778
 AEX,31.32736111,-92.54855556
 AFW,32.98763889,-97.31880556
 AGS,33.36994444,-81.9645
 ALB,42.74911111,-73.80197222
 AMA,35.21936111,-101.7059167
 ANC,61.17408333,-149.9981944
 ARA,30.03775,-91.88388889
 ARB,42.22297222,-83.74558333
 ATL,33.63669444,-84.42786111
 ATW,44.25808333,-88.51908333
 AUS,30.19452778,-97.66988889
 AVL,35.43619444,-82.54180556
 AVP,41.33847222,-75.72338889
 AZO,42.23438889,-85.55155556
 BAD,32.50191667,-93.66261111
 BDL,41.93913889,-72.68336111
 BED,42.46994444,-71.289
 BFF,41.87402778,-103.5956389
 BFI,47.53,-122.3019722
 BFM,30.62677778,-88.06808333
 BGR,44.80744444,-68.82813889
 BHM,33.56388889,-86.75230556
 BIF,31.8495,-106.3800278
 BIL,45.80766667,-108.5428889
 BIS,46.77272222,-100.74575
 BIX,30.41041667,-88.92441667
 BKL,41.5175,-81.68333333
 BLV,38.54516667,-89.83519444
 BNA,36.12447222,-86.67819444
 BOI,43.56436111,-116.2228611
 BOS,42.36297222,-71.00641667
 BPT,29.95083333,-94.02069444
 BQK,31.25902778,-81.46630556
 BQN,18.49486111,-67.12944444
 BRO,25.90683333,-97.42583333
 BTR,30.53288889,-91.14986111
 BTV,44.47186111,-73.15327778
 BUF,42.94041667,-78.73058333
 BUR,34.20066667,-118.3586667
 BWI,39.17536111,-76.66833333
 BZN,45.77755556,-111.152
 CAE,33.93883333,-81.11952778
 CAK,40.91505556,-81.44363889
 CEF,42.194,-72.53477778
 CGI,37.22530556,-89.57075
 CHA,35.03519444,-85.20355556
 CHO,38.13863889,-78.45286111
 CHS,32.89863889,-80.04052778
 CID,41.88469444,-91.71080556
 CKB,39.29663889,-80.22808333
 CLE,41.40941667,-81.85469444
 CLL,30.58858333,-96.36383333
 CLT,35.21372222,-80.94905556
 CMH,39.998,-82.89202778
 CMI,40.03883333,-88.27780556
 COS,38.80580556,-104.7007778
 CPR,42.908,-106.4644167
 CRP,27.77036111,-97.50122222
 CRW,38.37591667,-81.593
 CSG,32.51633333,-84.93886111
 CVG,39.04883333,-84.66780556
 CXY,40.21713889,-76.85136111
 CYS,41.15563889,-104.8104722
 DAB,29.17991667,-81.05805556
 DAG,34.85372222,-116.7866944
 DAL,32.84711111,-96.85177778
 DAY,39.90225,-84.21938889
 DCA,38.85188889,-77.03769444
 DEN,39.86166667,-104.6731667
 DET,42.40930556,-83.01016667
 DFW,32.89680556,-97.03797222
 DHN,31.321,-85.44947222
 DLH,46.84208333,-92.19363889
 DSM,41.53397222,-93.66308333
 DTW,42.21244444,-83.35338889
 ECP,30.35825,-85.79561111
 EFD,29.60733333,-95.15875
 EGE,39.64275,-106.9159167
 EIL,64.66563889,-147.1014167
 ELP,31.80716667,-106.3763333
 EUG,44.12458333,-123.2119722
 EWK,38.05705556,-97.27522222
 EWR,40.6925,-74.16866667
 EYW,24.55611111,-81.75955556
 FAI,64.81508333,-147.8564444
 FAR,46.92063889,-96.81575
 FAT,36.77619444,-119.7181389
 FAY,34.99122222,-78.88027778
 FLG,35.14030556,-111.66925
 FLL,26.07258333,-80.15272222
 FMN,36.74125,-108.2299444
 FMY,26.58661111,-81.86325
 FNT,42.96541667,-83.74366667
 FOE,38.95094444,-95.66361111
 FRG,40.72877778,-73.41341667
 FSD,43.582,-96.74188889
 FSM,35.33658333,-94.36744444
 FWA,40.97847222,-85.19516667
 GEG,47.61902778,-117.5352222
 GFK,47.94725,-97.17377778
 GGG,32.384,-94.71147222
 GJT,39.12238889,-108.5267222
 GLH,33.48286111,-90.98561111
 GNV,29.69005556,-82.27177778
 GPT,30.40725,-89.07008333
 GRB,44.48463889,-88.12972222
 GRK,31.06725,-97.82891667
 GRR,42.88083333,-85.52280556
 GSB,35.33936111,-77.96058333
 GSO,36.10130556,-79.94111111
 GSP,34.89566667,-82.21886111
 GTB,44.05561111,-75.71988889
 GTF,47.48263889,-111.3705833
 GTR,33.44825,-88.59138889
 GUC,38.53394444,-106.9330278
 GUM,13.48386111,-144.7971667
 GUP,35.51105556,-108.7893056
 GYR,33.42372222,-112.3744444
 GYY,41.61627778,-87.41277778
 HDN,40.48116667,-107.2176667
 HFD,41.73672222,-72.64944444
 HNL,21.31866667,-157.9224167
 HOP,36.67233333,-87.49247222
 HOU,29.64541667,-95.27888889
 HPN,41.06694444,-73.70755556
 HRL,26.22711111,-97.65513889
 HSV,34.63719444,-86.77505556
 HTS,38.36691667,-82.55863889
 IAD,38.94744444,-77.45994444
 IAG,43.10755556,-78.94583333
 IAH,29.98441667,-95.34141667
 ICT,37.64994444,-97.43305556
 IDA,43.51372222,-112.07075
 IGX,35.935,-79.06588889
 ILE,31.08583333,-97.6865
 ILM,34.27061111,-77.90255556
 IND,39.71727778,-86.29463889
 ISO,35.33144444,-77.60883333
 ITH,42.49136111,-76.45872222
 JAC,43.60733333,-110.73775
 JAN,32.31116667,-90.07588889
 JAX,30.49405556,-81.68786111
 JFK,40.63975,-73.77891667
 JVL,42.62025,-89.04155556
 KOA,19.73875,-156.0456111
 LAF,40.41230556,-86.93688889
 LAL,27.98891667,-82.01855556
 LAN,42.77863889,-84.58619444
 LAS,36.08005556,-115.15225
 LAW,34.56769444,-98.41661111
 LAX,33.94247222,-118.4080556
 LBB,33.66363889,-101.8227778
 LCH,30.12608333,-93.22341667
 LCQ,30.18205556,-82.57686111
 LEX,38.03675,-84.60863889
 LFI,37.08283333,-76.3605
 LFT,30.20525,-91.98761111
 LGA,40.77725,-73.87261111
 LGB,33.81775,-118.1517222
 LIH,21.97597222,-159.3389444
 LIT,34.72944444,-92.22477778
 LNK,40.85088889,-96.75911111
 LSE,43.87925,-91.25661111
 LSF,32.33177778,-84.98713889
 LSV,36.23619444,-115.03425
 LWS,46.3745,-117.0153889
 MAF,31.94252778,-102.2019167
 MBS,43.53291667,-84.07963889
 MCI,39.29758333,-94.71388889
 MCN,32.69283333,-83.64919444
 MCO,28.42938889,-81.30897222
 MDH,37.77808333,-89.25202778
 MDT,40.19316667,-76.76261111
 MDW,41.78597222,-87.75241667
 MEM,35.04241667,-89.97666667
 MFE,26.17583333,-98.23861111
 MGM,32.30063889,-86.39397222
 MHK,39.14122222,-96.67177778
 MHT,42.93280556,-71.43575
 MIA,25.79536111,-80.29011111
 MIB,48.41575,-101.3580278
 MKC,39.12291667,-94.59280556
 MKE,42.94705556,-87.89705556
 MLB,28.10275,-80.64525
 MLI,41.44827778,-90.5075
 MLU,32.51086111,-92.03766667
 MOB,30.69141667,-88.24283333
 MQY,36.00897222,-86.52008333
 MRY,36.587,-121.8429444
 MSN,43.13986111,-89.3375
 MSO,46.91630556,-114.0905556
 MSP,44.88194444,-93.22175
 MSY,29.99338889,-90.25802778
 MTJ,38.50980556,-107.89425
 MYR,33.67975,-78.92833333
